Question,Answer
"Q: Yes, Ido. I mean I do when you talked about your father meeting Vince uh coming out I know the church around the corer that you're talking about. I know the corner Vinoze Gata and Valenchos (ph) -- I know it. So um, there's uh -- are you okay?",A: But I bet you didn't know about Monica?
"Q: No, I did not know about Monica.",A: And you didn't know about Gloria.
"Q: No, I don't know about Gloria, was that another cafe?","A: Inthe Triumf en capitol (ph), you didn't know?"
Q: Triumf en capitol (ph) -- I think I've heard of.,A: What -- what -- what was it?
Q: These were cafes too? Restaurants?,A: No.
Q: No? What were they?,A: They are cinemas.
Q: Ah.,A: And you own the cinemas.
"Q: It's um, well that's also because I wasn't born there and I didn't grow up there. It's because I came there later and got to see these places.",A: Only when you are born there --ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion to
Q: And during that time --,A: From the very --
Q: Yeah.,A: -- first minute you are --
"Q: We're covering a lot of -- I wanted to get a picture from you, about what your life was like, who were the people who were important to you, what they were like, um, what was that world like? Before all of the catastrophes, before everything changed. I wanted to get this picture. And of course there is more to add to it and if -- as we go into um, the war years, and the Holocaust and all of the -- all of the atrocities, if something comes to you where you want to go back to describing something pre-war, that's fine. But I wanted to get this kind of picture established so that somebody in the future has a sense of what it was like before it all changed. And if you were born in 1928, you're still a child. When things started to change. On the edge of being a teenager --",A: So you actually have a picture of how I grow up and what kind of a family I was and what type of school I went.
Q: Yeah. Some kind -- yeah. Some of it.,"A: Until soon there was an unrest (ph). Because uh, he conquered um Poland. Many Jewish people run away from there."
Q: That's right.,A: And I started to tell what was going on.
"Q: So you're now talking now September Ist 1939, when the war breaks out and Germ -- and Germany attacks Poland. I want to go back a little bit before. One more pre-ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion a question, very political question. Was there ant-Semitism when you were growing up?","A: I presume that it was, but I didn't feel it. Smetona, issued a rule."
Q: Smetona was the president of the country?,"A: Ina way, he wasn't super democrat, but he was very good to the Jews. And he needed the Jews badly. Because the Jews helped him to build a state with eh culture and lots of the doctors are Jewish, the professors are Jewish and they mainly came from Germany because it was not very far from Cannesberg (ph)."
Q: That's right.,A: And he always urged us to bring your relatives from Germany.
"Q: And that's through the ""30s after Hitler came to power? Or even before?",A: Who came to power?
Q: Hitler came to power in 1933. Did Smetona say this after he came to power?,A: Yes.
Q: -- or before?,A: Before and after.
"Q: Both times, okay.",A: Um Smetona (another language spoken) we used to go to his palace -- palace.
"Q: Little palace, little palace. Pale chukas (ph).",A: But we used to go.
Q: On February 16th?,A: We-like 80 percent of the Jews in Kaunas were Zionist and many immigrated toontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion - Palestine in spite of the good life that they had. Look not everybody had the food and there were many and there were two hundred settlers the life was --
Q: -- not so good.,A: But they also -- I want you to very much read that book I may get you that book it's about four settlers and Kaisiadorys.
Q: Okay.,"A: We-suddenly, when the war started, many Jewish people fled from Poland and came and each and every family brought in somebody to live because they there were quite a few but this is a habit of Jewish people someone comes over and would sleep over a night and then stay and if they don't have money they don't pay. And now we are the ""40s. And we, we, we, we didn't move. We should have moved. But where can we move? You cannot enter Palestine because the English don't let us."
"Q: I want to back up a little bit -- I want to talk -- I want to get a sense as a ten-year-old, eleven year-old child things start to change. I want to know how you experienced those changes. Did you have a Polish, Jewish, family stay with you, for example, in Kaunas?",A: Yes. One. It was a single man.
Q: Did he tell you what was going on?,A: Yes. The kids are not involved. They say there is a war. But the kids -- you still go to school.
Q: Did your parents seem more worried?,"A: They --I found out later, in Kaunas, our house the passports were ready."
Q: Their passports were prepared to go to Palestine?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion 1,"A: Yes. They wanted to go to Palestine, but how can you enter Palestine? If you don't have thousands pounds sterling for each and everybody and this was a hell of a lot of money. You couldn't enter. And even with a thousand pounds you couldn't enter."
Q: Their passports were prepared to go to Palestine?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion 1,A: But I think we're going to go with America cause there was a grandfather. I don't know I don't know the details. I don't have the slightest clue. Before you say Jack Robinson the Russians came.
Q: How did you experience that? Do you remember when they arrived?,A: Iremember like yesterday.
Q: What happened? What did you see?,"A: Isaw Plesney Plasky (ph), you speak Russian?"
Q: (Russian spoken),"A: Came in a strong army and they went in the street it is after my (another language spoken) were playing, and there was a lot of music, and a lot of joy. But my sister was first here in university and the faculty of medicine but she said she'll only be a pharmacist. Never mind about that she couldn't go on because she was not a Polital (ph)."
