Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mr. Henry Stern, on June 8"", 2016, in Columbia, Maryland. Thank you, Mr. Stern, for agreeing to meet with us today, and to share your life story.",A: I appreciate your coming.,"[1, 2, 3]"
"Q: Thank you. I will start at the beginning, and with the simplest questions, and from that, our conversation with develop, and I hope that your story unfolds. So, here we go. Can you tell me the date of your birth?","A: The 28"" of April, 1929.","[1, 2, 3]"
Q: And where were you born?,"A: In Rohrbach, by Bietingen, in Germany.","[1, 2, 3]"
"Q: And where is that in Germany, what part of Germany would that be?",A: That's a good question. It's near Frankfurt am Main.,"[1, 2, 3]"
"Q: Okay, okay. Was it a village, or a town?",A: Small village --,"[1, 2, 3]"
Q: Okay.,"A: -- of approximately five, maybe 600 inhabitants.","[1, 2, 3]"
Q: Was it the kind of place where everybody knew each other?,"A: As far as I know, yes.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Henry Stern : June 8, 2016","[1, 2, 3]"
Q: Okay.,A: I was rather young at the time.,"[1, 2, 3]"
Q: Of course. And what was your name at birth?,A: Benno(ph) Heinz(ph) Stern.,"[1, 2, 3]"
Q: Benno(ph) Heinz(ph) Stern.,A: Yes.,"[1, 2, 3]"
Q: And when did you change it to Henry?,"A: When the family moved to the United States, when we emigrated.","[1, 2, 3]"
Q: So that would have been when you were still a youngster?,A: Oh yes.,"[1, 2, 3]"
Q: Okay.,A: Less than seven years old.,"[1, 2, 3]"
"Q: Okay. Tell me a little bit about your mother and your father, starting with their names.","A: My father's name was Siegfried Stern. My mother was Rachel, alway -- always called Reshe(ph) Morganstern(ph) Stern.","[1, 2, 3]"
Q: And did you have any siblings?,"A: Thad a brother, Walter.","[1, 2, 3]"
"Q: Was he --ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Henry Stern deg June 8, 2016",A: He was a year and a half older than I.,"[1, 2, 3]"
Q: Okay. That was my question. So you were the younger of the two children?,A: Yes.,"[1, 2, 3]"
"Q: All right. At home, what language did your parents speak with one another?",A: German.,"[1, 2, 3]"
Q: German. Any Yiddish?,"A: I don't think so, but of course, Yiddish and German are quite similar.","[1, 2, 3]"
Q: Uh-huh. But German speaking --,A: Yes.,"[1, 2, 3]"
"Q: -- at any rate. Were they from the village? Can you repeat the village name, because I didn't quite catch it.",A: Rohrbach.,"[1, 2, 3]"
"Q: Rohrbach, Rohrbach.","A: Yes. And there are actually, I believe, four Rohrbachs in German --","[1, 2, 3]"
Q: Okay.,A: -- Germany. Which is why I mention by bid -- Bietingen.,"[1, 2, 3]"
Q: By Bietingen.,"A: Yes.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Henry Stern deg June 8, 2016","[1, 2, 3]"
"Q: Okay, so Rohrbach by Bietingen, that's why it didn't rem -- it didn't stay in my mind.",A: Right.,"[1, 2, 3]"
"Q: So, were they originally from Rohrbach by Bietingen?",A: Tm sorry?,"[1, 2, 3]"
"Q: Your -- your parents, were they originally from the village Rohrbach by Bietingen?",A: My father was.,"[1, 2, 3]"
