Question,Answer
Q: This is a United States Holocaust Memorial Museum interview with Mr.,A: 1908.
Q: The -- and which month?,A: November.
Q: And day?,A: Fourth November.
Q: November fourth. And was your name when you were born also Joseph Bach?,A: Yeah.
"Q: And what town were your born in, or what place were you born in?",A: Hospital.
"Q: Hospital, I know. Where was the hospital located?","A: I know, in Lvov.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.4Interview with Joseph BachDecember 12, 2015"
"Q: In Lvov, Poland, okay. Can you tell me wh -- how many brothers and sisters did",A: One.
Q: A brother or a sister?,A: Brother.
"Q: Okay, what was his name?",A: Siegfried.
Q: Was he younger or older than you?,A: Younger.
"Q: Allright. And your parents, your father, what was his name?",A: Henry.
Q: Henry Bach. And your mother?,A: Marvina(ph).
Q: And what was her maiden name?,A: Holzhaiger(ph).
Q: Marvina(ph) Holzhaiger(ph)?,A: Yeah.
Q: Okay. Can you tell me what kind of-- can you tell me a little bit about your,A: He has a store.
Q: What kind?,"A: China, this a -- this a -- this a --"
Q: China store?,"A: China and porcelain, this -- this line."
Q: And was it a large store?,A: Medium.
Q: Okay. Was it in Lvov center?,"A: Ah, near center. Depends how you look at it."
Q: Was -- did your father have any brothers and sisters?,"A: Yeah, he had."
Q: And were -- about how many did he have?,"A: How many I don't remember. Wait a minute. A brother, a brother, he has one."
Q: Okay.,"A: He was -- he was taking care of animals, of horses. He was in the army. He was a[indecipherable]. It means in --"
"Q: In the Austro-Hungarian army, or the Polish?","A: Yeah, in Austro army."
Q: Okay.,"A: And they ter -- in Poland when come, so he had private. He was a private withthe [indecipherable]"
"Q: Oh. And tell me, did he have -- did your father have more brothers and sisters, or",A: One brother more.
Q: Okay.,A: He was in Vienna.
Q: Okay.,"A: Some kind of representative, I don't know what representative."
"Q: Now, was your family always from Lvov?",A: Yeah.
"Q: Okay, it had lived there for generations?",A: Yeah.
"Q: Okay. On your mother's side of the family, did she have brothers and sisters?",A: Yeah.
Q: Mm-hm. Did you know them?,A: Yeah.
"Q: Were you -- were you -- did you meet a lot -- you know, when you were little and","A: Yeah, they come to visit us and talking. That's all."
"Q: Your brother and yourself, did you go to Polish schools, or Russian schools?",A: I go to German schools.
Q: You went to German schools?,A: Right.
Q: Okay. And why was this? Because Lvov is so far away.,A: Because -- because German school was the quality the best.
Q: Uh-huh.,"A: Mathematic, other thing, were the best. Polish school or schools, nothing special.And th-they wanted special."
Q: What language did you speak at home?,A: Polish.
"Q: Okay. When you were growing up, how many languages did you know?","A: Again Polish, German."
Q: Did you speak Yiddish?,A: No.
Q: Okay. Did you speak Russian?,A: No.
"Q: Okay. So, would you say your family was assimilated into Polish society?","A: Like less and more, yes."
Q: Okay. Did your -- was your parent -- was your family very religious?,A: Medium.
Q: What does medium mean in this case?,A: What?
Q: What does medium mean? What did you -- how did you --,"A: It means you go when it was holiday, keep the holidays, but not special."
Q: You were the older son.,A: So?
"Q: Did you -- did you get any special treatment by education, or were both you and","A: My, my brother the same."
Q: Okay. Did you go to gymnasium?,A: Yes.
Q: Also German?,A: German.
Q: Okay. And what about any university? Did you enter university at all?,A: Yes.
Q: Where?,A: In Paris.
Q: In Paris?,A: Yeah.
Q: What were you studying?,A: Medicine.
Q: Did you want to be a doctor?,A: Yeah.
Q: And can you describe something about what Paris was like at the time? Was this,"A: A nice, entertaining spot."
Q: Yeah?,A: Yeah. Twice [indecipherable] But now it's too [indecipherable] same stuff.Paris is Paris.
"Q: Yeah, it is. How many years were you there?",A: Three.
Q: Three. Did you finish your studies?,"A: No, the -- I have to finish five, not three."
Q: Uh-huh. And why did you not finish them? What happened?,"A: A little stuff.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.10Interview with Joseph BachDecember 12, 2015"
Q: Tell me about the little stuff.,A: War.
Q: Well that's -- that's big enough. That ha -- you know. So you -- so the war,A: Right away. Come back home.
"Q: Okay. What did -- when you came back home, was it 1938, or deg39, do you",A: I don't remember.
Q: Had the war --,A: Was --
Q: Uh-huh?,A: Yeah. War.
"Q: What -- when you came back -- now, let me back up a little bit, I have another",A: Not bad.
"Q: Not bad. Did you have -- tell me a little bit about your parents"" home. Did they","A: No, they don't -- they didn't -- we didn't -- we live in nice house, but we didn'town it.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.1Interview with Joseph BachDecember 12, 2015"
"Q: And was it a single family home, or did you live in a flat?","A: That boy -- three family, three -- three -- okay, three family house."
Q: Okay. And what kind of modern conveniences were in that house? Was there,"A: Toi -- toilet paper. I don't know what, you know [indecipherable] is."
"Q: All right, I know, I know. But you know something, toilet paper is --",A: Correction -- wait a second.
Q: Okay.,A: Correction. For those that are doing only question [indecipherable] have sense.
Q: I understand that some of my questions may make no sense.,A: Sure. You can take it out.
"Q: Ah, it's okay. P'Il tell you why I ask these things. Because people today don't","A: Some -- some they were, some not. One house could be very modern, and oneother is not so modern."
"Q: And when I ask that, you see, it also tells me a little bit more about how well off","A: Medium. I wouldn't tell that it's rich, or the -- medium.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.-Interview with Joseph BachDecember 12, 2015"
Q: Medium.,"A: No --no problem financially or -- or eating or something like that, I know."
Q: So did your parents pay your tuition in the -- in Paris for medical studies?,"A: Oh, sure."
"Q: Okay, so they could afford that?","A: Yeah, it's -- it's a-- no, that was not so big."
"Q: Okay. When you came back to Lvov, what -- what did you do? Did you start",A: Metro Goldwyn Mayer.
Q: You started working at Metro Golden Mayer?,A: Right.
Q: How did that happen?,"A: I wanted to get the job, and [indecipherable] basically, I wanted to be a doctor."
Q: Okay.,"A: But when is vacation, you go up and apply in a job what you can."
Q: Okay.,A: So.
Q: And so you got that -- how did you get that job?,"A: I don't know myself. I got it, that's all.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.13Interview with Joseph BachDecember 12, 2015"
Q: Okay. And what was your job at Metro Golden Mayer? What were you,"A: We talk about how order, you know, order for pictures, and to send all additionalmeans [indecipherable] you need to be in [indecipherable] all advertise, all this[indecipherable]"
"Q: So you mean like when a movie would -- would be sent to Poland, you would",A: No.
Q: Okay.,"A: They send the movie, and they sell all advertising, all what you -- what thismovie are needed. You understand? When you give it to a movie, they geteverything with the movie. You don't really order."
Q: Okay.,A: You give them the whole business.
Q: So your job was to make sure that movie cinemas got the movie with the,"A: Yeah, advertising was my department."
Q: Uh-huh. And did that mean you had to translate the advertisements that they sent,"A: What's on America, was in -- in Polish."
Q: It was in Polish already. All right.,"A: Yeah, they always prepared."
Q: Okay.,"A: Matthew, relax."
Q: Excuse me?,A: I talk to Matthew.
Q: Okay. He will. Hang on a minute.,A: No. M: Can I have it for a minute?
Q: Okay. He will. Hang on a minute.,A: Yeah.M: Thank you.
Q: Okay.,A: Yeah.M: Okay.
"Q: Okay. This is Matthew, who is Mr. Bach's grandson. So do you remember",A: I [indecipherable] starting in the movies.
"Q: I know my -- we want to know about this connection to Metro Golden Mayer,","A: What is interested, that's a movie, that's all, it's a business, it's nothing else."
Q: Okay.,"A: Pani(ph) [indecipherable] Pani(ph) Valesca(ph), this I remember."
Q: Pani(ph) Valesca(ph)?,"A: Ah this one, Polish dignitaries, ah, all baloney."
Q: All baloney.,"A: Sure, it's -- it's [indecipherable] were some picture extraordinary."
Q: Yeah?,"A: Ma, picture, you stamp it. Next."
Q: How many cinemas did Lvov have?,A: Around -- around 12.
"Q: Uh-huh, about 12 cinemas. And did you have to have personal relations with all","A: What I have a [indecipherable] they came to the office, and they got whatever isneeded, that's all."
Q: Okay. Did any Americans ever come?,"A: Okay we don't talk about the movies, we talk about the other things."
"Q: We will, we will.","A: Tm sorry, it's finished."
"Q: Okay, no more movies.",A: [indecipherable] what is movies?
"Q: So, how long did you work there?",A: Not very long. I work it -- I work it twice.
Q: Okay.,A: What I wanted when I have vacation.
Q: Okay.,"A: And I work it when start the war. I came back home right away, and I temporaryjob, I think, go [indecipherable]"
Q: Okay.,A: And IJ start the old [indecipherable]
"Q: So tell me, did you -- were you already in Lvov on September 1"", 1939? That's",A: So I was in Lvov.
Q: You were in Lvov?,"A: Yeah, well, right away that letter, come immediately, war.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.17Interview with Joseph BachDecember 12, 2015"
"Q: Okay. Can you remember -- can you tell me how everybody reacted, what was","A: Was very upsetting, what you can't imagine. German are quite potential[indecipherable] and a lot kids, a lot this, right away in the army, in the[indecipherable] different stuff."
"Q: Did you want to join the army, or were you going to join the army?","A: No, no."
