num,question,answer
0,header,"http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Sara Shapiro
July 6, 2007
RG-50.030*0518
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following oral history testimony is the result of a taped interview with Sara Shapiro,
conducted on July 6, 2007 on behalf of the United States Holocaust Memorial Museum. The
interview 1s part of the United States Holocaust Memorial Museum's collection of oral testimonies.
Rights to the interview are held by the United States Holocaust Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it 1s possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
SARA SHAPIRO
July 6, 2007
"
1,"Could you tell me your name please, and where you’re from?","My name is Sara Shapiro, and I’m from Koretz Orovno. Koretz, Ukraine."
2,And your maiden name?,Goralnik.
3,"Can you tell me a little bit about life in Koretz before the war, what you remember?","Well, I was only 10 years old when Hitler came, and n-not much, but we -- we lived in a very nice place, and I had my parents, mine -- I had three brothers, and -- and I was the only girl."
4,Aunts and uncles?,"Yes, many."
5,"How many would you say, up to first cousins, family?","It’s hard to st -- to tell, because mine dad had seven, there were seven children. My mother, they were -- three survived -- not survive, but three -- three sisters and a grandmother, and also --"
6,And they were all married and had children?,"Yes, yes."
7,"And of this large group, how many survived the war?","Two. My mother’s sister’s younger daughter, that’s all."
8,And you.,And me.
9,What did your father do?,"Well, he -- he did many things. We had a mill, a windmill, and we had land, and then we had a sugar factory in Koretz, and we used to harvest the -- the beets, sugar, and take it -- sell it to the factory, sugar factory. Sugar beets."
10,"So, did he -- he must have had non-Jewish customers, as well?","Oh yeah, oh yeah."
11,"And what was the relationship between the Jews of Koretz and the non-Jews? Was it friendly, was it hostile? Anti-Semitic?","Yes, but they didn't show."
