num,question,answer
0,header,"http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Sonia Brodecki
July 26, 2003
RG-50.549.02*0071
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following oral history testimony is the result of an audio taped interview with Sonia
Brodecki, conducted by Nina Ellis on July 26, 2003 on behalf of the United States Holocaust
Memorial Museum. The interview took place in Richmond, Virginia and is part of the United
States Holocaust Memorial Museum's collection of oral testimonies. Rights to the interview are held
by the United States Holocaust Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from
this transcript without first checking it against the taped interview.
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
Contact reference@ushmm.org for further information about tis collection
Interview with Sonia Brodecki
July 26, 2003
Beginning Tape One, Side A
"
1,"United States Holocaust Memorial Museum, Jeff and Toby Herr collection. This is an interview with Sonia Brodecki, conducted by Nina Ellis, on July 27"" --",26.
2,"July 26"", thank you.",That’s [indecipherable]
3,"2003, in Richmond, Virginia. This interview is part of the United States Holocaust Memorial Museum’s post-Holocaust interview project, and is a follow up interview to a USHMM videotaped interview conducted with Sonia Brodecki in 1989. The United States Holocaust Memorial Museum gratefully acknowledges Jeff and Toby Herr for making this interview possible. This is tape number one, side A. Sonia, I listened to the interview that you did in 1989, and it ended more or less at Landsberg, right around the time that you got married, and had your first child. You mentioned then having come to the United States, but I want to go back if you would, a little bit, to when you first got to Landsberg. And if you would tell me how you were -- what kind of condition you were in, what your health was like, how old you were at that time, and 1f you remember what it- what your impressions were when you first came into Landsberg, the DP camp. Do you remember those things?",Not --
4,Not too good. USHMM Archives RG-50.549.02*0071 °,"Not too good -- not just too good, but how do you say it, something. I remember a few things."
5,Mm-hm.,"When I came -- I came from Germany to Landsberg [indecipherable] with my girlfriend, and I think uro was there, and we were given a room, and we stayed there. And- and we were working there, too, we got a job, we were working, I was knitting. See, we were knittings things for -- for the children in Israel."
6,"Do you remember what month it was, or -- it was ni -- was it 1945?","I was liberated May the eight, 1945, and I came -- no, before I went to Landsberg, I went back to Poland."
7,Mm.,"I went back to Poland, didn’t have a -- didn’t have papers, didn’t have anything, but somehow I went to Poland. Can you imagine me jumping on trains? I had to go to Poland. I was still hoping. I was still ho -- I knew that I don’t have anybody, but I was still hoping. And when I came to Poland -- do you want me to tell this?"
8,Sure.,"When I came to Poland, I remember that a -- people recognized me, they knew who I was. And -- because we had a candy factory, my parents had that, and a restaurant, and I went to the candy factory because it was still there. And I had a cousin who came back from concentration camp, too. And I was hoping that somebody 1s there. I was there for two weeks. And I just left, I didn’t even tell them I would, I just left. USHMM Archives RG-50.549.02*0071 :"
9,You didn’t find anybody”?,Nobody was there.
10,"Nothing. And your house, what was -- what had become of your house?","We didn’t have a house. That’s what I just want to tell you, because this is interesting. I remember I was walking on the street, and I was si -- telling -- people were saying to other people, “She’s still alive, the Jew? She lives?” Not to me, because, you know. But I went to the house I was living, and I knock at the door, and the lady opened the door, and she ask me what I want. So I just put my foot in, and I said, “Please let me in, give me a glass of water, and I tell you who I am and what I want.” She didn’t want to, she was hesitant, she let me in. And I told her, “Please let me sit for a minute here, this is the house where I was born, where I had mine parents.” And she ask me, “Where are your parents?” So I ti -- I had to tell her this, that my parents are still on the farm, working. If I would tell her ’m Jewish, she would throw me out. And she was hesitant, and hesitant, but she let me stay there for a few minutes. And she said to me -- she talk with me, and I said, “Please let me stay.” And she said to me, “I have to go downstairs to get some water,” or milk, I’ve -- I forgot. And I said, “Would you please allow me to stay here?” She said, “I have to lock everything up, but you can stay in the hall and waiting.” And I want this. I want to go -- see, in Europe, when you -- when you wash your clothes, you hang it up in the attic."
11,Hm. USHMM Archives RG-50.549.02*0071 °,"Yeah. And I knew that my father put things away in the attics. When she went, I run to the attic, and I looked. I found something, not much, it’s a little bit, and I heard her coming, I went downstairs. And she said to me, “Do you think when your parents,” -- everything was ours."
12,Furniture in the house?,"Everything. I look at the ceiling, you know, and in Europe when you paint the ceiling - look at me, I remember those details -- you paint something on the ceiling in the corners, and in the middle, before you put the u-um -- lamp -- the -- how do you call it?"
13,Chandelier?,"Chandeliers. I still remem -- everything, even the pictures."
14,Pictures on the wall --,Everything.
15,-- were your parents.,"Not my parents, but the pictures, you know, that she had. And I went to the kitchen, I remember before the war, in 1939 -- before the war, my mother bought a credenza for the kitchen. It was like -- like cut -- canary color, canary blue, it was nice. Everything was there. You know how I felt? And she asked me, “Do you think that your parents will come back, and they will take it away this from me?” I said, “Oh, no, no, mine parents will help you out, if you need help.” Didn’t know what to tell her, because I want to stay there, it made -- you know how I felt --"
16,It made you feel good. USHMM Archives RG-50.549.02*0071 °,Made me feel wonderful.
17,Close to your parents.,"Very close. So I send her something from America, but later she ask for more, and she ask that she want to come, and I couldn’t do it, because I didn’t have the money to -- you know, to take -- I ask -- but I said, can’t."
18,She wanted you to --,"She -- yeah, yeah, yeah."
19,-- help her come to the United States? Oh my goodness.,Yeah.
20,Oh my goodness.,And I just couldn’t.
21,Yeah.,"But she sti -- didn’t know that I was Jewish. She ask me for my name, but I knew if I would tell her my name, she would know that we have candy there, because we were wa- people knew us. So I told her some s -- I told her my mother’s maiden name, Silverstein."
22,Huh.,And I left.
23,Huh. Do you remember what you found in the attic?,Mm-hm. Those golden co-coins.
24,Coins? USHMM Archives RG-50.549.02*0071 ’,"Yes. I remember my father put it away. I took a brick out. I put -- I remember those -- you know, when you’re little, when you’re young, you remember things."
